12,10,0,249.998500
14,11,0,249.996900
16,11,0,249.995100
17,11,0,249.993200
21,11,0,249.991250
23,11,1,249.989100
28,11,0,249.986850
33,13,0,249.984350
42,14,1,249.981400
45,14,11,249.977950
57,14,12,249.508396
71,15,11,249.102518
84,16,11,248.719808
106,16,11,248.355662
133,16,12,248.008541
175,16,11,247.870396
229,18,15,247.766620
291,19,17,247.752018
375,18,25,247.733760
492,20,28,247.519091
629,20,41,247.308268
816,21,44,247.274528
1028,19,72,247.227876
1326,20,87,247.171799
1675,20,114,247.100754
2042,19,158,244.228494
2500,17,225,244.115885
3060,16,269,243.982396
3643,15,376,243.808374
4147,14,422,243.612385
4894,13,540,243.393484
5733,10,695,242.803743
6409,8,762,242.191869
7669,7,938,241.481440
9105,6,1147,240.723248
10634,2,1429,239.588178
12368,2,1827,238.407594
14286,2,2174,237.166361
16195,1,2565,235.847391
18105,1,2782,234.480214
20155,1,3230,233.029496
22419,1,3669,231.506895
21414,1,2975,229.799057
22900,1,3585,228.087597
23604,1,3657,226.281924
26027,1,4710,224.243566
28301,1,5750,221.959843
29850,1,6754,219.082888
30509,1,7732,215.900149
30999,1,8542,212.343165
31387,1,9489,208.531730
31153,1,10985,204.399346
32117,1,10803,199.897436
32988,1,11289,195.451226
33283,1,12015,190.855256
32730,1,13038,186.296696
30595,1,15331,181.575028
26903,1,16988,176.279720
22930,1,16880,170.410633
19491,1,17710,164.400001
16445,1,18585,158.383708
13533,1,19752,152.120671
11600,1,20185,145.824877
8923,1,21706,139.662481
6577,1,22928,133.536119
4389,1,24185,127.415825
2075,1,25648,121.388042
463,1,26472,115.536639
395,1,25966,109.877503
368,1,25692,104.503465
349,1,25406,99.399969
335,1,25134,94.554588
313,1,24849,89.932958
278,1,24592,85.548828
255,1,24330,81.389859
233,1,24060,77.424716
214,1,23795,73.645773
202,1,23529,70.048208
217,1,23235,66.608443
223,1,22958,63.345531
218,1,22661,60.237664
223,1,22363,57.287430
224,0,22057,54.482090
233,0,21723,51.794058
226,0,21432,49.232559
231,0,21091,46.781183
234,0,20770,44.448947
235,0,20435,42.245996
248,0,20103,40.153558
253,0,19763,38.164186
263,0,19459,36.275501
275,0,19090,34.477030
288,0,18739,32.760278
293,0,18382,31.128679
305,0,18015,29.580314
318,0,17642,28.108377
336,0,17298,26.711515
351,0,16953,25.381326
358,0,16587,24.118478
358,0,16239,22.920230
363,0,15849,21.777289
366,0,15489,20.681601
367,0,15172,19.643223
367,0,14830,18.652619
364,0,14432,17.705921
345,0,14066,16.807602
335,0,13652,15.952311
337,0,13229,15.146954
331,0,12858,14.384172
323,0,12492,13.650091
338,0,12098,12.949458
340,0,11759,12.282772
338,0,11402,11.649924
326,0,11079,11.053097
340,0,10708,10.482101
345,0,10373,9.936825
339,0,10057,9.423255
348,0,9718,8.936234
340,0,9390,8.471797
339,0,9069,8.032890
344,0,8748,7.613706
343,0,8458,7.214874
355,0,8160,6.837284
354,0,7885,6.475085
354,0,7568,6.130355
357,0,7290,5.806730
376,0,7024,5.499788
396,0,6744,5.203596
410,0,6475,4.918721
417,0,6220,4.647594
421,0,5973,4.391189
430,0,5743,4.147888
425,0,5563,3.917936
436,0,5347,3.699233
433,0,5163,3.490695
431,0,4935,3.290717
429,0,4726,3.101288
430,0,4515,2.920904
416,0,4346,2.751055
416,0,4159,2.594296
411,0,3979,2.445304
409,0,3828,2.304204
399,0,3657,2.168263
409,0,3497,2.043770
399,0,3371,1.920714
386,0,3187,1.802876
391,0,3016,1.693567
384,0,2893,1.588854
382,0,2754,1.491494
368,0,2644,1.399246
359,0,2508,1.311608
360,0,2376,1.227101
359,0,2267,1.147596
350,0,2177,1.073942
333,0,2083,1.003366
325,0,1977,0.939332
304,0,1903,0.877846
282,0,1808,0.821509
268,0,1696,0.765159
260,0,1580,0.714293
253,0,1503,0.667718
251,0,1415,0.622718
249,0,1348,0.580839
245,0,1285,0.541794
238,0,1224,0.503468
235,0,1160,0.468996
233,0,1075,0.434140
226,0,1007,0.402643
210,0,931,0.373098
210,0,862,0.346290
194,0,834,0.321447
195,0,751,0.297966
195,0,696,0.275079
193,0,639,0.253329
190,0,584,0.233053
193,0,532,0.215055
200,0,498,0.198174
192,0,484,0.181217
185,0,452,0.165845
177,0,420,0.151200
172,0,373,0.137026
159,0,349,0.123745
152,0,307,0.112372
148,0,280,0.101187
139,0,254,0.090718
139,0,223,0.081495
120,0,226,0.072567
111,0,180,0.065321
106,0,145,0.058052
98,0,131,0.051366
98,0,107,0.045510
88,0,108,0.040030
75,0,96,0.035563
66,0,76,0.031188
57,0,66,0.028027
55,0,46,0.024949
54,0,31,0.021922
44,0,32,0.019082
39,0,24,0.017089
38,0,21,0.014936
34,0,23,0.013081
31,0,20,0.011373
25,0,21,0.009863
24,0,16,0.008716
17,0,20,0.007314
16,0,13,0.006438
14,0,13,0.005564
10,0,14,0.004812
10,0,10,0.004329
9,0,11,0.003631
7,0,10,0.003186
6,0,9,0.002811
5,0,9,0.002439
3,0,9,0.002107
2,0,7,0.001731
1,0,8,0.001550
0,0,8,0.001473
