12,10,0,219.998400
14,11,0,219.996600
16,11,0,219.994700
17,11,0,219.992750
9,11,12,219.990600
9,11,10,219.681608
8,11,9,219.453208
6,11,8,219.243990
3,11,11,218.894627
1,11,13,218.323390
0,11,13,217.646276
0,11,13,216.989039
0,12,12,216.487161
0,13,11,216.118796
0,13,10,215.827985
0,14,9,215.562929
0,15,7,215.337948
0,15,5,215.133537
0,17,5,214.939071
0,7,15,214.754244
0,6,15,209.178197
0,6,15,203.436618
0,6,13,198.383135
0,6,12,193.614013
0,6,12,189.083318
0,6,12,184.779127
0,6,12,180.690116
0,6,12,176.805526
0,6,11,173.425475
0,7,11,170.214297
0,8,11,167.163542
0,8,12,164.265186
0,8,12,161.218323
0,9,12,157.799236
0,8,12,154.838422
0,8,12,152.005446
0,9,12,149.287648
0,9,13,146.730599
0,11,13,141.390629
0,13,13,136.317402
0,18,13,131.497272
0,25,13,126.917358
0,33,13,122.565515
0,44,13,118.429999
0,59,13,114.499539
0,82,12,110.779359
0,115,12,107.261053
0,163,12,103.917047
0,231,12,100.979846
0,326,15,98.178536
0,463,19,95.541196
0,655,30,93.238976
0,935,34,90.372551
0,1323,65,87.602817
0,1860,109,85.001185
0,2566,202,82.995072
0,3505,321,81.130866
0,4669,559,79.205592
0,6073,897,77.176022
0,7738,1334,75.150906
0,9589,1975,73.062572
0,11597,2750,70.742457
0,13714,3636,68.166319
0,15845,4680,65.306032
0,17939,5784,62.174840
